r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
0.001	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.61e-032	1.11e+013	1.30e+012	6.38e+006	3.58e+013	3.72e+002	9.28e+004	1.91e+013	1.61e+018	1.61e-032
0.005	1.47e+002	5.41e-001	9.92e+004	1.97e-033	5.25e+008	2.23e+006	5.52e+007	8.18e+008	1.91e-033	1.12e+013	2.85e+012	8.23e+007	3.63e+013	4.84e+003	1.21e+006	1.91e+013	1.61e+018	3.50e+008
0.010	3.61e+002	5.00e-001	9.10e+004	9.88e-035	6.17e+008	2.44e+006	5.22e+007	8.57e+008	9.62e-035	1.15e+013	4.94e+012	1.14e+008	3.76e+013	1.14e+004	1.76e+006	1.95e+013	1.61e+018	2.95e+008
0.015	6.63e+002	7.99e-001	1.39e+005	3.36e-036	9.32e+008	3.47e+006	6.76e+007	1.13e+009	3.32e-036	1.20e+013	7.06e+012	1.66e+008	3.95e+013	2.61e+004	2.63e+006	2.02e+013	1.61e+018	2.71e+008
0.020	1.16e+003	1.34e+000	2.17e+005	8.60e-038	1.40e+009	4.92e+006	9.40e+007	1.52e+009	8.67e-038	1.28e+013	9.24e+012	2.40e+008	4.19e+013	5.54e+004	3.96e+006	2.12e+013	1.61e+018	2.28e+008
0.025	1.99e+003	2.22e+000	3.31e+005	1.77e-039	1.98e+009	6.77e+006	1.27e+008	2.00e+009	1.82e-039	1.38e+013	1.15e+013	3.37e+008	4.50e+013	1.10e+005	5.84e+006	2.25e+013	1.61e+018	1.52e+008
0.030	3.44e+003	3.61e+000	4.89e+005	3.04e-041	2.68e+009	9.09e+006	1.69e+008	2.55e+009	3.19e-041	1.50e+013	1.38e+013	4.62e+008	4.87e+013	2.05e+005	8.41e+006	2.42e+013	1.61e+018	5.47e+007
0.035	5.98e+003	5.72e+000	7.02e+005	4.48e-043	3.49e+009	1.20e+007	2.22e+008	3.20e+009	4.81e-043	1.65e+013	1.62e+013	6.19e+008	5.29e+013	3.62e+005	1.18e+007	2.62e+013	1.61e+018	5.81e+007
0.040	1.03e+004	8.86e+000	9.83e+005	5.78e-045	4.41e+009	1.55e+007	2.86e+008	3.93e+009	6.35e-045	1.82e+013	1.87e+013	8.15e+008	5.79e+013	6.07e+005	1.62e+007	2.84e+013	1.61e+018	1.82e+008
0.045	1.76e+004	1.34e+001	1.34e+006	6.64e-047	5.46e+009	1.99e+007	3.62e+008	4.77e+009	7.46e-047	2.02e+013	2.13e+013	1.06e+009	6.34e+013	9.71e+005	2.18e+007	3.10e+013	1.61e+018	3.15e+008
