t,s	t_el,s	dte,s	dt,s	NRF	Pgas(t),Torr	Tgas(t),K	Te(t),[K]	Jel(t),[A/cm2]	Iel(t),[mA]	Vext(t),[kV]	Power(t),[W/cm^2]	<Iel>RF,[mA]	<Power>RF,[W/cm^2]	Ngas(t),[cm-3]	Xel	MNT,[g*cm-3*K]	MNTr,[g*cm-3*K]	e(t)	O+(t)	O2+(t)	O3+(t)	O4+(t)	O-(t)	O2-(t)	O3-(t)	O4-(t)	O2[a](t)	O2[b](t)	O2[Hz](t)	O(t)	O[1D](t)	O[1S](t)	O3(t)	O2(t)	
0.0000000e+000	0.0000000e+000	1.00e-012	1.00e-008	0.00	50.0	300.0	5802.5	0.00e+000	0.000	0.000	0.00e+000	0.00e+000	0.00e+000	1.61e+018	1.00e-010	1.73809e-002	4.34513e-005	1.61e+008	0.00e+000	1.61e+008	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	0.00e+000	1.61e+018	
8.8839356e-007	3.4657727e-010	2.55e-012	1.74e-010	0.03	50.0	300.0	5756.7	0.00e+000	3.802	1.733	6.42e-001	7.74e-004	1.31e-004	1.61e+018	9.84e-011	1.73809e-002	4.34512e-005	1.58e+008	9.53e-004	1.61e+008	1.50e-019	3.48e+005	1.88e+006	9.39e+004	5.02e+002	1.52e-019	4.37e+009	1.30e+009	2.26e+009	4.23e+009	1.35e+009	3.55e+007	-5.90e+003	1.61e+018	
9.2508733e-007	2.9368614e-009	1.37e-011	1.28e-010	0.23	50.0	300.0	5161.0	0.00e+000	39.312	2.564	1.01e+001	4.30e-002	1.10e-002	1.61e+018	7.58e-010	1.73809e-002	4.34511e-005	1.22e+009	1.06e+002	1.38e+009	1.29e-018	1.21e+007	1.19e+008	3.06e+006	3.00e+005	1.27e-018	2.73e+010	4.70e+010	2.63e+010	2.09e+011	5.27e+010	4.04e+009	3.88e+006	1.61e+018	
9.7009807e-007	8.0202185e-009	1.65e-011	1.73e-010	0.64	50.0	300.0	4650.7	0.00e+000	46.144	-2.200	1.01e+001	6.11e-002	1.34e-002	1.61e+018	9.98e-010	1.73808e-002	4.34509e-005	1.61e+009	4.38e+002	2.27e+009	3.49e-018	7.24e+007	5.75e+008	1.61e+007	5.40e+006	3.50e-018	9.51e+010	1.90e+011	9.96e+010	6.22e+011	5.20e+010	8.69e+009	3.50e+007	1.61e+018	
1.0307657e-006	1.3611046e-008	1.63e-011	2.33e-010	1.09	50.0	300.0	4766.1	0.00e+000	48.922	2.115	1.04e+001	6.37e-002	1.35e-002	1.61e+018	1.09e-009	1.73807e-002	4.34507e-005	1.75e+009	9.47e+002	2.94e+009	5.87e-018	1.68e+008	1.17e+009	3.54e+007	1.97e+007	5.99e-018	2.01e+011	3.89e+011	2.12e+011	1.17e+012	3.57e+010	1.39e+010	1.27e+008	1.61e+018	
1.1125366e-006	1.8852806e-008	2.93e-011	3.14e-010	1.51	50.0	300.0	4921.1	0.00e+000	5.154	-0.203	2.14e-002	1.21e-002	5.02e-005	1.61e+018	1.14e-009	1.73806e-002	4.34504e-005	1.84e+009	1.84e+003	3.61e+009	8.15e-018	2.78e+008	1.78e+009	5.48e+007	4.21e+007	8.27e-018	3.57e+011	6.70e+011	3.76e+011	1.96e+012	2.81e+010	2.13e+010	3.38e+008	1.61e+018	
1.2227514e-006	2.4354692e-008	2.03e-011	4.23e-010	1.95	50.0	300.0	4694.0	0.00e+000	34.745	-1.052	3.88e+000	5.65e-002	6.32e-003	1.61e+018	1.20e-009	1.73805e-002	4.34500e-005	1.92e+009	3.35e+003	4.27e+009	1.05e-017	4.14e+008	2.44e+009	7.53e+007	7.48e+007	1.07e-017	5.75e+011	1.04e+012	5.97e+011	3.04e+012	4.25e+010	3.11e+010	7.80e+008	1.61e+018	
1.3713042e-006	2.9808088e-008	1.66e-011	5.70e-010	2.38	50.0	300.0	5551.2	0.00e+000	49.717	1.779	8.91e+000	6.61e-002	1.19e-002	1.61e+018	1.24e-009	1.73802e-002	4.34495e-005	2.00e+009	5.43e+003	4.86e+009	1.29e-017	5.66e+008	3.03e+009	9.55e+007	1.17e+008	1.31e-017	8.62e+011	1.53e+012	8.66e+011	4.46e+012	6.12e+010	4.35e+010	1.66e+009	1.61e+018	
1.5715311e-006	3.5514953e-008	1.72e-011	7.69e-010	2.84	50.0	300.0	4599.6	0.00e+000	52.033	-1.910	9.91e+000	7.15e-002	1.36e-002	1.61e+018	1.24e-009	1.73799e-002	4.34487e-005	2.00e+009	8.19e+003	5.38e+009	1.53e-017	7.45e+008	3.65e+009	1.17e+008	1.71e+008	1.56e-017	1.24e+012	2.17e+012	1.20e+012	6.30e+012	6.38e+010	5.80e+010	3.35e+009	1.61e+018	
1.8414065e-006	4.1077718e-008	1.63e-011	1.04e-009	3.29	50.0	300.0	5366.8	0.00e+000	51.888	1.921	9.95e+000	6.76e-002	1.30e-002	1.61e+018	1.23e-009	1.73795e-002	4.34476e-005	1.98e+009	1.17e+004	5.85e+009	1.77e-017	9.37e+008	4.23e+009	1.39e+008	2.33e+008	1.81e-017	1.76e+012	3.03e+012	1.59e+012	8.73e+012	6.44e+010	7.52e+010	6.56e+009	1.61e+018	
2.2051579e-006	4.6680184e-008	1.73e-011	1.40e-009	3.73	50.0	300.0	4504.6	0.00e+000	51.746	-1.941	1.00e+001	7.16e-002	1.39e-002	1.61e+018	1.22e-009	1.73789e-002	4.34460e-005	1.97e+009	1.64e+004	6.31e+009	2.01e-017	1.15e+009	4.82e+009	1.60e+008	3.05e+008	2.05e-017	2.45e+012	4.18e+012	2.05e+012	1.20e+013	6.54e+010	9.53e+010	1.26e+010	1.61e+018	
2.6954398e-006	5.2287157e-008	1.63e-011	1.88e-009	4.18	50.0	300.0	4744.6	0.00e+000	52.043	1.991	1.04e+001	6.78e-002	1.35e-002	1.61e+018	1.20e-009	1.73780e-002	4.34438e-005	1.94e+009	2.26e+004	6.74e+009	2.25e-017	1.38e+009	5.39e+009	1.83e+008	3.87e+008	2.30e-017	3.38e+012	5.70e+012	2.54e+012	1.63e+013	6.83e+010	1.17e+011	2.38e+010	1.61e+018	
3.3562658e-006	5.7792798e-008	1.72e-011	2.54e-009	4.62	50.0	300.1	4635.4	0.00e+000	51.569	-2.053	1.05e+001	7.11e-002	1.44e-002	1.61e+018	1.18e-009	1.73767e-002	4.34405e-005	1.89e+009	3.02e+004	7.14e+009	2.49e-017	1.62e+009	5.95e+009	2.03e+008	4.76e+008	2.54e-017	4.63e+012	7.72e+012	3.04e+012	2.20e+013	6.77e+010	1.38e+011	4.45e+010	1.61e+018	
