E/N,Td	Vdr,cm/s	Te,eV	Mue*N,1/(cm*s*V)	De*N,1/(cm*s)		MuE*N,1/(cm*s*V)	DE*N,1/(cm*s)	(R1)e+O->e+O[1D]	(R2)e+O[1D]->e+O	(R3)e+O->e+O[1S]	(R4)e+O[1S]->e+O	(R5)e+O2->e+O2[a]	(R6)e+O2[a]->e+O2	(R7)e+O2->e+O2[b]	(R8)e+O2[b]->e+O2	(R9)e+O2[a]->e+O2[b]	(R10)e+O2[b]->e+O2[a]	(R11)e+O2->e+O2[Hz]	(R12)e+O2[Hz]->e+O2	(R13)e+O2->e+O+O	(R14)e+O2->e+O+O[1D]	(R15)e+O2->e+O+O[1S]	(R16)e+O2->O+O-	(R17)e+O2->O2++e+e	(R18)e+O->O++e+e	(R19)e+O2->O2++e+e	
0.50	6.641e+005	9.171e-002	1.328e+023	1.393e+022	2.000e+023	1.664e+022	4.454e-018	6.386e-010	1.265e-046	7.431e-010	1.018e-014	6.924e-011	5.049e-016	1.098e-010	1.082e-014	2.949e-011	1.981e-051	7.308e-010	0.000e+000	0.000e+000	0.000e+000	2.454e-044	0.000e+000	0.000e+000	0.000e+000	
5.00	2.636e+006	5.472e-001	5.272e+022	2.873e+022	6.668e+022	3.718e+022	5.012e-011	4.209e-009	6.962e-015	2.419e-009	3.146e-011	2.671e-010	7.666e-012	3.167e-010	2.589e-011	1.255e-010	2.007e-014	2.523e-009	5.007e-018	1.432e-025	1.758e-038	2.137e-015	0.000e+000	0.000e+000	0.000e+000	
10.00	3.258e+006	1.088e+000	3.258e+022	3.904e+022	4.519e+022	4.653e+022	5.274e-010	8.363e-009	1.263e-012	3.785e-009	1.273e-010	5.107e-010	3.868e-011	4.979e-010	7.296e-011	2.307e-010	6.280e-012	3.316e-009	2.584e-014	2.815e-017	1.107e-023	4.553e-013	3.440e-030	4.687e-032	0.000e+000	
15.00	4.070e+006	1.377e+000	2.713e+022	4.308e+022	3.900e+022	5.011e+022	1.061e-009	1.007e-008	6.088e-012	4.341e-009	1.970e-010	6.486e-010	6.210e-011	5.817e-010	9.874e-011	2.827e-010	3.562e-011	3.344e-009	4.438e-013	1.537e-014	6.595e-019	2.543e-012	6.984e-023	6.369e-024	9.827e-037	
20.00	4.913e+006	1.568e+000	2.457e+022	4.530e+022	3.572e+022	5.219e+022	1.492e-009	1.095e-008	1.344e-011	4.651e-009	2.483e-010	7.406e-010	7.869e-011	6.308e-010	1.151e-010	3.142e-010	8.407e-011	3.261e-009	2.129e-012	3.571e-013	1.284e-016	6.020e-012	2.288e-019	5.193e-020	7.882e-030	
25.00	5.724e+006	1.722e+000	2.289e+022	4.686e+022	3.341e+022	5.368e+022	1.850e-009	1.152e-008	2.239e-011	4.870e-009	2.911e-010	8.124e-010	9.195e-011	6.659e-010	1.274e-010	3.372e-010	1.429e-010	3.161e-009	6.069e-012	2.364e-012	2.730e-015	1.020e-011	2.533e-017	9.690e-018	9.115e-026	
30.00	6.488e+006	1.858e+000	2.163e+022	4.810e+022	3.157e+022	5.486e+022	2.161e-009	1.193e-008	3.242e-011	5.042e-009	3.291e-010	8.726e-010	1.033e-010	6.935e-010	1.376e-010	3.557e-010	2.057e-010	3.058e-009	1.296e-011	8.340e-012	1.993e-014	1.452e-011	5.437e-016	2.901e-016	4.264e-023	
35.00	7.208e+006	1.982e+000	2.059e+022	4.913e+022	3.004e+022	5.584e+022	2.435e-009	1.225e-008	4.312e-011	5.186e-009	3.636e-010	9.248e-010	1.133e-010	7.162e-010	1.463e-010	3.711e-010	2.679e-010	2.958e-009	2.302e-011	2.055e-011	8.052e-014	1.864e-011	4.697e-015	3.146e-015	3.293e-021	
40.00	7.890e+006	2.099e+000	1.972e+022	5.002e+022	2.872e+022	5.668e+022	2.678e-009	1.249e-008	5.413e-011	5.308e-009	3.952e-010	9.705e-010	1.223e-010	7.354e-010	1.538e-010	3.844e-010	3.270e-010	2.863e-009	3.616e-011	4.051e-011	2.272e-013	2.240e-011	2.331e-014	1.840e-014	8.399e-020	
45.00	8.538e+006	2.210e+000	1.897e+022	5.080e+022	2.757e+022	5.742e+022	2.895e-009	1.268e-008	6.523e-011	5.415e-009	4.240e-010	1.011e-009	1.303e-010	7.518e-010	1.605e-010	3.959e-010	3.816e-010	2.773e-009	5.208e-011	6.896e-011	5.077e-013	2.573e-011	8.066e-014	7.201e-014	1.033e-018	
50.00	9.158e+006	2.315e+000	1.832e+022	5.150e+022	2.658e+022	5.807e+022	3.090e-009	1.284e-008	7.626e-011	5.509e-009	4.505e-010	1.047e-009	1.376e-010	7.659e-010	1.664e-010	4.060e-010	4.313e-010	2.689e-009	7.045e-011	1.060e-010	9.672e-013	2.864e-011	2.179e-013	2.140e-013	7.678e-018	
55.00	9.754e+006	2.415e+000	1.773e+022	5.213e+022	2.570e+022	5.867e+022	3.266e-009	1.297e-008	8.711e-011	5.592e-009	4.748e-010	1.079e-009	1.442e-010	7.782e-010	1.717e-010	4.149e-010	4.762e-010	2.610e-009	9.094e-011	1.516e-010	1.644e-012	3.117e-011	4.929e-013	5.225e-013	3.968e-017	
60.00	1.033e+007	2.512e+000	1.722e+022	5.271e+022	2.492e+022	5.923e+022	3.426e-009	1.307e-008	9.774e-011	5.667e-009	4.971e-010	1.108e-009	1.503e-010	7.890e-010	1.765e-010	4.229e-010	5.165e-010	2.535e-009	1.132e-010	2.051e-010	2.570e-012	3.335e-011	9.785e-013	1.103e-012	1.565e-016	
65.00	1.089e+007	2.605e+000	1.675e+022	5.325e+022	2.422e+022	5.976e+022	3.570e-009	1.315e-008	1.081e-010	5.734e-009	5.178e-010	1.133e-009	1.558e-010	7.985e-010	1.808e-010	4.299e-010	5.526e-010	2.466e-009	1.370e-010	2.663e-010	3.766e-012	3.523e-011	1.758e-012	2.085e-012	5.021e-016	
70.00	1.143e+007	2.695e+000	1.633e+022	5.375e+022	2.360e+022	6.026e+022	3.702e-009	1.322e-008	1.182e-010	5.794e-009	5.368e-010	1.157e-009	1.609e-010	8.069e-010	1.848e-010	4.363e-010	5.848e-010	2.401e-009	1.621e-010	3.346e-010	5.251e-012	3.685e-011	2.922e-012	3.615e-012	1.371e-015	
75.00	1.196e+007	2.783e+000	1.595e+022	5.422e+022	2.303e+022	6.075e+022	3.822e-009	1.327e-008	1.280e-010	5.849e-009	5.544e-010	1.178e-009	1.656e-010	8.143e-010	1.883e-010	4.420e-010	6.135e-010	2.339e-009	1.883e-010	4.094e-010	7.034e-012	3.822e-011	4.566e-012	5.854e-012	3.290e-015	
80.00	1.248e+007	2.868e+000	1.560e+022	5.467e+022	2.252e+022	6.123e+022	3.931e-009	1.331e-008	1.376e-010	5.898e-009	5.707e-010	1.197e-009	1.699e-010	8.209e-010	1.916e-010	4.472e-010	6.390e-010	2.282e-009	2.152e-010	4.904e-010	9.122e-012	3.939e-011	6.785e-012	8.968e-012	7.116e-015	
